id	companyCode	capital	smaDays	trendStrength
303	ASIANPAINT	10000	30	9
304	ASIANPAINT	10000	40	9
305	ASIANPAINT	10000	50	9
306	ASIANPAINT	10000	60	9
307	ASIANPAINT	10000	70	9
308	ASIANPAINT	10000	80	9
309	ASIANPAINT	10000	90	9
310	ASIANPAINT	10000	100	9
311	ASIANPAINT	10000	110	9
312	ASIANPAINT	10000	120	9
313	ASIANPAINT	10000	130	9
314	ASIANPAINT	10000	140	9
315	ASIANPAINT	10000	150	9
316	ASIANPAINT	10000	10	10
317	ASIANPAINT	10000	20	10
318	ASIANPAINT	10000	30	10
319	ASIANPAINT	10000	40	10
320	ASIANPAINT	10000	50	10
321	ASIANPAINT	10000	60	10
322	ASIANPAINT	10000	70	10
323	ASIANPAINT	10000	80	10
324	ASIANPAINT	10000	90	10
325	ASIANPAINT	10000	100	10
326	ASIANPAINT	10000	110	10
327	ASIANPAINT	10000	120	10
328	ASIANPAINT	10000	130	10
329	ASIANPAINT	10000	140	10
330	ASIANPAINT	10000	150	10
331	ASIANPAINT	10000	10	11
332	ASIANPAINT	10000	20	11
333	ASIANPAINT	10000	30	11
334	ASIANPAINT	10000	40	11
335	ASIANPAINT	10000	50	11
336	ASIANPAINT	10000	60	11
337	ASIANPAINT	10000	70	11
338	ASIANPAINT	10000	80	11
339	ASIANPAINT	10000	90	11
340	ASIANPAINT	10000	100	11
341	ASIANPAINT	10000	110	11
342	ASIANPAINT	10000	120	11
343	ASIANPAINT	10000	130	11
344	ASIANPAINT	10000	140	11
345	ASIANPAINT	10000	150	11
346	ASIANPAINT	10000	10	12
347	ASIANPAINT	10000	20	12
348	ASIANPAINT	10000	30	12
349	ASIANPAINT	10000	40	12
350	ASIANPAINT	10000	50	12
351	ASIANPAINT	10000	60	12
352	ASIANPAINT	10000	70	12
353	ASIANPAINT	10000	80	12
354	ASIANPAINT	10000	90	12
355	ASIANPAINT	10000	100	12
356	ASIANPAINT	10000	110	12
357	ASIANPAINT	10000	120	12
358	ASIANPAINT	10000	130	12
359	ASIANPAINT	10000	140	12
360	ASIANPAINT	10000	150	12
361	ASIANPAINT	10000	10	13
362	ASIANPAINT	10000	20	13
363	ASIANPAINT	10000	30	13
364	ASIANPAINT	10000	40	13
365	ASIANPAINT	10000	50	13
366	ASIANPAINT	10000	60	13
367	ASIANPAINT	10000	70	13
368	ASIANPAINT	10000	80	13
369	ASIANPAINT	10000	90	13
370	ASIANPAINT	10000	100	13
371	ASIANPAINT	10000	110	13
372	ASIANPAINT	10000	120	13
373	ASIANPAINT	10000	130	13
374	ASIANPAINT	10000	140	13
375	ASIANPAINT	10000	150	13
376	ASIANPAINT	10000	10	14
377	ASIANPAINT	10000	20	14
378	ASIANPAINT	10000	30	14
379	ASIANPAINT	10000	40	14
380	ASIANPAINT	10000	50	14
381	ASIANPAINT	10000	60	14
382	ASIANPAINT	10000	70	14
383	ASIANPAINT	10000	80	14
384	ASIANPAINT	10000	90	14
385	ASIANPAINT	10000	100	14
386	ASIANPAINT	10000	110	14
387	ASIANPAINT	10000	120	14
388	ASIANPAINT	10000	130	14
389	ASIANPAINT	10000	140	14
390	ASIANPAINT	10000	150	14
391	ASIANPAINT	10000	10	15
392	ASIANPAINT	10000	20	15
393	ASIANPAINT	10000	30	15
394	ASIANPAINT	10000	40	15
395	ASIANPAINT	10000	50	15
396	ASIANPAINT	10000	60	15
397	ASIANPAINT	10000	70	15
398	ASIANPAINT	10000	80	15
399	ASIANPAINT	10000	90	15
400	ASIANPAINT	10000	100	15
401	ASIANPAINT	10000	110	15
402	ASIANPAINT	10000	120	15
403	ASIANPAINT	10000	130	15
404	ASIANPAINT	10000	140	15
405	ASIANPAINT	10000	150	15
406	ASIANPAINT	10000	10	16
407	ASIANPAINT	10000	20	16
408	ASIANPAINT	10000	30	16
409	ASIANPAINT	10000	40	16
410	ASIANPAINT	10000	50	16
411	ASIANPAINT	10000	60	16
412	ASIANPAINT	10000	70	16
413	ASIANPAINT	10000	80	16
414	ASIANPAINT	10000	90	16
415	ASIANPAINT	10000	100	16
416	ASIANPAINT	10000	110	16
417	ASIANPAINT	10000	120	16
418	ASIANPAINT	10000	130	16
419	ASIANPAINT	10000	140	16
420	ASIANPAINT	10000	150	16
421	ASIANPAINT	10000	10	17
422	ASIANPAINT	10000	20	17
423	ASIANPAINT	10000	30	17
424	ASIANPAINT	10000	40	17
425	ASIANPAINT	10000	50	17
426	ASIANPAINT	10000	60	17
427	ASIANPAINT	10000	70	17
428	ASIANPAINT	10000	80	17
429	ASIANPAINT	10000	90	17
430	ASIANPAINT	10000	100	17
431	ASIANPAINT	10000	110	17
432	ASIANPAINT	10000	120	17
433	ASIANPAINT	10000	130	17
434	ASIANPAINT	10000	140	17
435	ASIANPAINT	10000	150	17
436	ASIANPAINT	10000	10	18
437	ASIANPAINT	10000	20	18
438	ASIANPAINT	10000	30	18
439	ASIANPAINT	10000	40	18
440	ASIANPAINT	10000	50	18
441	ASIANPAINT	10000	60	18
442	ASIANPAINT	10000	70	18
443	ASIANPAINT	10000	80	18
444	ASIANPAINT	10000	90	18
445	ASIANPAINT	10000	100	18
446	ASIANPAINT	10000	110	18
447	ASIANPAINT	10000	120	18
448	ASIANPAINT	10000	130	18
449	ASIANPAINT	10000	140	18
450	ASIANPAINT	10000	150	18
451	ASIANPAINT	10000	10	19
452	ASIANPAINT	10000	20	19
453	ASIANPAINT	10000	30	19
454	ASIANPAINT	10000	40	19
455	ASIANPAINT	10000	50	19
456	ASIANPAINT	10000	60	19
457	ASIANPAINT	10000	70	19
458	ASIANPAINT	10000	80	19
459	ASIANPAINT	10000	90	19
460	ASIANPAINT	10000	100	19
461	ASIANPAINT	10000	110	19
462	ASIANPAINT	10000	120	19
463	ASIANPAINT	10000	130	19
464	ASIANPAINT	10000	140	19
465	ASIANPAINT	10000	150	19
466	ASIANPAINT	10000	10	20
467	ASIANPAINT	10000	20	20
468	ASIANPAINT	10000	30	20
469	ASIANPAINT	10000	40	20
470	ASIANPAINT	10000	50	20
471	ASIANPAINT	10000	60	20
472	ASIANPAINT	10000	70	20
473	ASIANPAINT	10000	80	20
474	ASIANPAINT	10000	90	20
475	ASIANPAINT	10000	100	20
476	ASIANPAINT	10000	110	20
477	ASIANPAINT	10000	120	20
478	ASIANPAINT	10000	130	20
479	ASIANPAINT	10000	140	20
480	ASIANPAINT	10000	150	20
481	PIDILITIND	10000	10	5
482	PIDILITIND	10000	20	5
483	PIDILITIND	10000	30	5
484	PIDILITIND	10000	40	5
485	PIDILITIND	10000	50	5
486	PIDILITIND	10000	60	5
487	PIDILITIND	10000	70	5
488	PIDILITIND	10000	80	5
489	PIDILITIND	10000	90	5
490	PIDILITIND	10000	100	5
491	PIDILITIND	10000	110	5
492	PIDILITIND	10000	120	5
493	PIDILITIND	10000	130	5
494	PIDILITIND	10000	140	5
495	PIDILITIND	10000	150	5
496	PIDILITIND	10000	10	6
497	PIDILITIND	10000	20	6
498	PIDILITIND	10000	30	6
499	PIDILITIND	10000	40	6
500	PIDILITIND	10000	50	6
501	PIDILITIND	10000	60	6
502	PIDILITIND	10000	70	6
503	PIDILITIND	10000	80	6
504	PIDILITIND	10000	90	6
505	PIDILITIND	10000	100	6
506	PIDILITIND	10000	110	6
507	PIDILITIND	10000	120	6
508	PIDILITIND	10000	130	6
509	PIDILITIND	10000	140	6
510	PIDILITIND	10000	150	6
511	PIDILITIND	10000	10	7
512	PIDILITIND	10000	20	7
513	PIDILITIND	10000	30	7
514	PIDILITIND	10000	40	7
515	PIDILITIND	10000	50	7
516	PIDILITIND	10000	60	7
517	PIDILITIND	10000	70	7
518	PIDILITIND	10000	80	7
519	PIDILITIND	10000	90	7
520	PIDILITIND	10000	100	7
521	PIDILITIND	10000	110	7
522	PIDILITIND	10000	120	7
523	PIDILITIND	10000	130	7
524	PIDILITIND	10000	140	7
525	PIDILITIND	10000	150	7
526	PIDILITIND	10000	10	8
527	PIDILITIND	10000	20	8
528	PIDILITIND	10000	30	8
529	PIDILITIND	10000	40	8
530	PIDILITIND	10000	50	8
531	PIDILITIND	10000	60	8
532	PIDILITIND	10000	70	8
533	PIDILITIND	10000	80	8
534	PIDILITIND	10000	90	8
535	PIDILITIND	10000	100	8
536	PIDILITIND	10000	110	8
537	PIDILITIND	10000	120	8
538	PIDILITIND	10000	130	8
539	PIDILITIND	10000	140	8
540	PIDILITIND	10000	150	8
541	PIDILITIND	10000	10	9
542	PIDILITIND	10000	20	9
543	PIDILITIND	10000	30	9
544	PIDILITIND	10000	40	9
545	PIDILITIND	10000	50	9
546	PIDILITIND	10000	60	9
547	PIDILITIND	10000	70	9
548	PIDILITIND	10000	80	9
549	PIDILITIND	10000	90	9
550	PIDILITIND	10000	100	9
551	PIDILITIND	10000	110	9
552	PIDILITIND	10000	120	9
553	PIDILITIND	10000	130	9
554	PIDILITIND	10000	140	9
555	PIDILITIND	10000	150	9
556	PIDILITIND	10000	10	10
557	PIDILITIND	10000	20	10
558	PIDILITIND	10000	30	10
559	PIDILITIND	10000	40	10
560	PIDILITIND	10000	50	10
561	PIDILITIND	10000	60	10
562	PIDILITIND	10000	70	10
563	PIDILITIND	10000	80	10
564	PIDILITIND	10000	90	10
565	PIDILITIND	10000	100	10
566	PIDILITIND	10000	110	10
567	PIDILITIND	10000	120	10
568	PIDILITIND	10000	130	10
569	PIDILITIND	10000	140	10
570	PIDILITIND	10000	150	10
571	PIDILITIND	10000	10	11
572	PIDILITIND	10000	20	11
573	PIDILITIND	10000	30	11
574	PIDILITIND	10000	40	11
575	PIDILITIND	10000	50	11
576	PIDILITIND	10000	60	11
577	PIDILITIND	10000	70	11
578	PIDILITIND	10000	80	11
579	PIDILITIND	10000	90	11
580	PIDILITIND	10000	100	11
581	PIDILITIND	10000	110	11
582	PIDILITIND	10000	120	11
583	PIDILITIND	10000	130	11
584	PIDILITIND	10000	140	11
585	PIDILITIND	10000	150	11
586	PIDILITIND	10000	10	12
587	PIDILITIND	10000	20	12
588	PIDILITIND	10000	30	12
589	PIDILITIND	10000	40	12
590	PIDILITIND	10000	50	12
591	PIDILITIND	10000	60	12
592	PIDILITIND	10000	70	12
593	PIDILITIND	10000	80	12
594	PIDILITIND	10000	90	12
595	PIDILITIND	10000	100	12
596	PIDILITIND	10000	110	12
